id,listing_type,property_type,price,location_city,location_city_district,area_property,area_land,construction_type,num_floors_building,apartment_floor,registered,heating_type,num_rooms,num_bathrooms,source
1715,s,a,67000,Beograd,Čukarica,60,,2000,4,3,t,Etažno,2.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/ilije-djuricica/5f0b03bc0c7cde4118576e85
1716,s,a,69000,Novi Sad,Avijatičarsko Naselje,71,,1900,4,1,t,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/avijaticarsko-naselje/5f36b7631e1ad514f737ebb3
1717,s,a,85400,Novi Sad,Novo Naselje,60,,1997,4,4,t,Centralno,3.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novo-naselje/5f36b7641e1ad514f737ebb7
1718,s,a,74360,Vrnjačka Banja opština,Vrnjačka Banja grad,40,,2019,3,2,t,Podno,2,1,https://www.4zida.rs/prodaja/stanovi/vrnjacka-banja-opstina/oglas/zamak-belimarkovic-najluxuzniji-objekat-u-banji/5f0e235a9a30915213528bc7
1719,s,a,93000,Novi Sad,Novi Sad - Centar,66,,,4,4,t,Centralno,2.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novi-sad-centar/5d7fe2972731716e781da627
1720,s,a,89250,Beograd,Zvezdara,35,,2020,4,1,f,Centralno,1,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/trajka-stamenkovica/5e70f9b90c7cde2f85597098
1721,s,a,169000,Beograd,Zemun,84,,,5,4,t,Centralno,2.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/kej-oslobodjenja/5eb552109a30912566253e01
1722,s,a,22500,Veliko Gradište opština,Veliko Gradište grad,41,,2009,3,3,t,Etažno,1.5,1,https://www.4zida.rs/prodaja/stanovi/veliko-gradiste-opstina/oglas/veliko-gradiste-grad/5f0ed4440c7cde30c842f27c
1723,s,a,170000,Beograd,Palilula,109,,,,0,t,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/dr-dragoslava-popovica/5e1068a90c7cde5231032f0b
1724,s,a,60000,Beograd,Zvezdara,43,,,2,0,t,Etažno,1.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/odeska/5d9529082731714c8e3348e3
1725,s,a,96000,Beograd,Zvezdara,96,,,3,0,t,Etažno,2,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/aleksandra-bugarskog/5d932f472731713b3e3bd60a
1726,s,a,62000,Beograd,Stari Grad,70,,,,0,t,Struja,2.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/budimska/5d9232262731713309394eea
1727,s,a,190000,Beograd,Palilula,88,,,4,3,t,Etažno,3,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/cvijiceva/5d9d1250273171033f7bc8f7
1728,s,a,38000,Beograd,Stari Grad,36,,,3,-1,t,Struja,1,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/strahinjica-bana/5d9b19c927317174921ddc73
1729,s,a,46200,Beograd,Zvezdara,44,,2019,5,-1,t,Etažno,2,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vitezova-karadjordjeve-zvezde/5d98c95c273171111a250581
1730,s,a,52500,Beograd,Zvezdara,50,,2019,5,-1,t,Etažno,2.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vitezova-karadjordjeve-zvezde/5d98c95c273171111a25057f
1731,s,a,93500,Beograd,Zvezdara,55,,,5,5,t,Centralno,2.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/djuriceva/5da749d427317114bc355ebf
1732,s,a,104072,Beograd,Zvezdara,57,,2020,5,1,t,Centralno,2.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/podujevska/5da749d327317114bc355ebd
1733,s,a,180000,Beograd,Stari Grad,65,,,7,7,t,Centralno,2.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/cara-lazara/5da749d027317114bc355ebb
1734,s,a,90640,Novi Sad,Rotkvarija,55,,,5,4,t,Gas,2,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/rotkvarija/5f36913bf406fc14a4489733
1735,s,a,38000,Gradske lokacije,Pantelej,50,,1990,5,3,t,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/nis/oglas/durlan/5f36918374b2b77ed579e693
1736,s,a,55000,Šabac opština,Šabac grad,57,,,,3,f,Gas,2,1,https://www.4zida.rs/prodaja/stanovi/sabac-opstina/oglas/vuka-karadzica/5f0f3e829a309167435de40e
1737,s,a,114000,Novi Sad,Telep,66,,,4,2,f,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/5f36919eccd20e3c747eef87
1738,s,a,67000,Beograd,Palilula,102,,2014,2,2,t,Struja,2,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/partizanski-blok-ul-1/5e6bc9790c7cde5e151b45e4
1739,s,a,27000,Beograd,Palilula,40,,,,0,t,TA peć,1,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/kovilovo/5ebd8b810c7cde31a1343ee4
1740,s,a,125660,Novi Sad,Grbavica,90,,2004,5,3,t,Centralno,4,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/grbavica/5eb1115b0c7cde438b7642e4
1741,s,a,75960,Novi Sad,Novo Naselje,59,,,11,9,t,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novo-naselje/5eb131129a3091527b6d1fee
1742,s,a,59000,Beograd,Zemun,63,,,4,4,f,Etažno,3,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/jasmine-jovanovic/5f3689f6156e3c3c0b1e1013
1743,s,a,32000,Loznica,Banja Koviljača,38,,,6,1,t,Struja,1,1,https://www.4zida.rs/prodaja/stanovi/loznica/oglas/zdravka-masanovica/5f3689f7156e3c3c0b1e1018
