price,location_city,location_city_district,area_property,num_floors_building,apartment_floor,registered,heating_type,num_rooms,num_bathrooms
115000.0,beograd,zvezdara,62.0,5.0,3.0,False,Etažno,2.5,1.0
75000.0,beograd,novi beograd,49.0,6.0,5.0,True,Centralno,1.5,1.0
90000.0,beograd,cukarica,117.0,2.0,2.0,True,Struja,3.0,1.0
68000.0,beograd,cukarica,44.0,6.0,3.0,True,Centralno,1.0,1.0
55000.0,beograd,zvezdara,37.0,5.0,1.0,True,Etažno,1.0,1.0
171000.0,beograd,zvezdara,91.0,8.0,3.0,True,Centralno,4.0,3.0
135000.0,beograd,vozdovac,75.0,7.0,6.0,True,Centralno,4.0,2.0
155000.0,beograd,zvezdara,83.0,8.0,6.0,True,Centralno,3.0,2.0
109900.0,beograd,stari grad,39.0,6.0,2.0,True,Centralno,2.0,1.0
95000.0,beograd,novi beograd,64.0,8.0,5.0,True,Centralno,2.0,1.0
275000.0,beograd,savski venac,135.0,6.0,2.0,True,Centralno,4.0,1.0
97000.0,beograd,savski venac,51.0,3.0,0.0,True,TA peć,2.0,1.0
77000.0,beograd,vracar,46.0,4.0,0.0,True,Centralno,2.0,1.0
88900.0,beograd,zemun,64.0,4.0,3.0,True,Centralno,3.0,2.0
76900.0,beograd,novi beograd,53.0,4.0,4.0,True,Centralno,1.5,1.0
144900.0,beograd,novi beograd,88.0,4.0,4.0,True,Centralno,3.5,1.0
110000.0,beograd,savski venac,57.0,5.0,4.0,True,Centralno,2.0,1.0
150000.0,beograd,savski venac,76.0,5.0,4.0,True,Centralno,2.5,1.0
68000.0,beograd,novi beograd,33.0,8.0,1.0,True,Centralno,1.0,1.0
140000.0,beograd,savski venac,71.0,5.0,2.0,True,Centralno,2.0,1.0
330000.0,beograd,zvezdara,106.0,7.0,6.0,True,Centralno,3.0,1.0
95000.0,beograd,cukarica,44.0,4.477707006369426,0.0,True,Centralno,1.0,1.0
145000.0,beograd,vracar,75.0,3.0,3.0,True,Etažno,4.0,1.0
64000.0,beograd,zemun,49.0,4.0,4.0,True,Etažno,2.5,1.0
120000.0,beograd,vozdovac,81.0,7.0,6.0,True,Centralno,2.5,1.0
160000.0,beograd,vracar,95.0,4.0,3.0,True,Etažno,3.0,1.0
285000.0,beograd,vracar,101.0,6.0,3.0,True,Centralno,4.0,1.0
73000.0,beograd,vozdovac,59.0,3.0,3.0,True,Gas,2.5,1.0
180000.0,beograd,vracar,112.0,12.0,2.0,True,Centralno,4.5,1.0
51500.0,beograd,zvezdara,50.0,3.0,3.0,True,Etažno,1.5,1.0
109500.0,beograd,zemun,53.0,6.0,1.0,False,Centralno,2.0,1.0
182000.0,beograd,novi beograd,98.0,4.0,4.0,True,Centralno,4.0,1.0
55000.0,beograd,zemun,43.0,3.0,3.0,True,Centralno,2.5,1.0
46800.0,beograd,zemun,36.0,3.8565022421524664,2.1180811808118083,False,Etažno,2.0,1.0
75000.0,beograd,vozdovac,53.0,4.0,4.0,True,Centralno,2.0,1.0
95000.0,beograd,novi beograd,64.0,8.0,5.0,True,Centralno,2.0,1.0
130000.0,beograd,vracar,47.0,5.0,2.0,True,Centralno,2.5,1.0
333000.0,beograd,vracar,128.0,4.0,3.0,True,Centralno,3.5,1.0
90000.0,beograd,vracar,42.0,4.0,2.0,True,Centralno,2.0,1.0
75000.0,beograd,zemun,46.0,9.0,3.0,True,Centralno,1.5,1.0
174000.0,beograd,vozdovac,87.0,3.0,3.0,False,Centralno,4.0,1.0
98000.0,beograd,cukarica,60.0,8.0,4.0,True,Centralno,2.0,1.0
89500.0,beograd,zvezdara,51.0,6.0,5.0,True,Centralno,2.0,1.0
158000.0,beograd,vozdovac,132.0,2.0,2.0,False,Struja,4.0,1.0
80000.0,beograd,palilula,53.0,4.0,3.0,True,Etažno,3.0,1.0
126000.0,beograd,stari grad,45.0,6.0,3.0,True,Centralno,2.0,1.0
142000.0,beograd,novi beograd,64.0,3.0,3.0,True,Centralno,2.5,1.0
85000.0,beograd,vozdovac,68.0,4.0,3.0,True,Centralno,2.0,1.0
220000.0,beograd,savski venac,54.0,30.0,22.0,True,Centralno,2.0,1.0
60000.0,beograd,vracar,26.0,3.0,0.0,True,Centralno,1.0,1.0
132000.0,beograd,novi beograd,69.0,9.022132796780683,0.0,False,Centralno,2.5,1.0
50500.0,beograd,novi beograd,35.0,3.0,1.0,True,Struja,1.5,1.0
185000.0,beograd,novi beograd,98.0,4.0,4.0,True,Centralno,4.0,1.0
126000.0,beograd,savski venac,70.0,3.0,1.0,True,Centralno,2.0,1.0
172000.0,beograd,savski venac,96.0,3.0,0.0,True,Centralno,4.0,1.0
172000.0,beograd,savski venac,96.0,3.0,1.0,True,Centralno,4.0,1.0
238000.0,beograd,vozdovac,140.0,3.0,2.0,True,Etažno,4.0,2.0
460000.0,beograd,vozdovac,251.0,6.0,5.0,True,Centralno,6.0,2.0
90000.0,beograd,vozdovac,83.0,2.0,2.0,True,TA peć,4.0,1.0
64500.0,beograd,novi beograd,34.0,8.0,6.0,True,Centralno,1.0,1.0
87000.0,beograd,rakovica,70.0,13.0,6.0,True,Centralno,2.5,1.0
120000.0,beograd,savski venac,47.0,3.0,3.0,True,Podno,2.0,1.0
168630.0,beograd,vracar,73.0,4.910761154855643,2.3537414965986394,False,Centralno,3.0,1.0
99330.0,beograd,vracar,43.0,4.910761154855643,2.3537414965986394,False,Centralno,1.5,1.0
50400.0,beograd,vozdovac,42.0,3.0,1.0,True,Etažno,2.0,1.0
219888.0,beograd,savski venac,82.0,23.0,1.0,False,Centralno,3.0,1.0
51750.0,beograd,grocka,69.0,3.0,0.0,True,Etažno,2.0,1.0
290000.0,beograd,vracar,123.0,5.0,3.0,True,Centralno,4.0,1.0
176000.0,beograd,stari grad,80.0,2.0,2.0,True,Etažno,4.0,1.0
139000.0,beograd,vozdovac,160.0,2.0,1.0,True,Norveški radijatori,4.0,1.0
100000.0,beograd,zvezdara,57.0,5.0,1.0,True,Centralno,3.0,1.0
35000.0,beograd,grocka,35.0,3.2,0.0,True,Etažno,2.0,1.0
140000.0,beograd,stari grad,52.0,6.0,2.0,False,Centralno,3.0,1.0
210000.0,beograd,stari grad,78.0,6.0,1.0,False,Centralno,3.0,1.0
140000.0,beograd,stari grad,52.0,6.0,1.0,False,Centralno,2.0,1.0
111900.0,beograd,novi beograd,71.0,12.0,4.0,True,Centralno,2.5,1.0
108000.0,beograd,zemun,82.0,3.0,3.0,True,Centralno,4.0,2.0
115000.0,beograd,cukarica,100.0,4.0,3.0,True,Centralno,3.5,1.0
88000.0,beograd,vracar,42.0,4.910761154855643,0.0,True,Centralno,1.0,1.0
90000.0,beograd,novi beograd,41.0,19.0,12.0,True,Centralno,1.5,1.0
88250.0,beograd,palilula,50.0,4.0,1.0,True,Etažno,2.0,1.0
34000.0,beograd,cukarica,28.0,4.0,0.0,True,Centralno,1.0,1.0
28000.0,beograd,cukarica,23.0,3.0,0.0,True,Centralno,1.0,1.0
157000.0,beograd,novi beograd,90.0,2.0,2.0,True,Centralno,3.0,2.0
84000.0,beograd,savski venac,35.0,14.0,6.0,True,Centralno,1.5,1.0
78000.0,beograd,novi beograd,43.0,9.022132796780683,0.0,True,Centralno,1.0,1.0
95000.0,beograd,rakovica,110.0,2.0,1.0,True,Etažno,4.0,1.0
45000.0,beograd,palilula,50.0,4.8046875,0.0,True,Centralno,3.0,1.0
89900.0,beograd,novi beograd,82.0,9.022132796780683,3.0,True,Etažno,3.0,1.0
358400.0,beograd,stari grad,128.0,5.190311418685121,2.0,True,Norveški radijatori,4.0,1.0
242000.0,beograd,stari grad,92.0,4.0,1.0,True,Centralno,5.0,2.0
280000.0,beograd,stari grad,109.0,4.0,1.0,True,Centralno,3.5,1.0
120000.0,beograd,savski venac,47.0,3.0,3.0,True,Podno,2.0,1.0
149500.0,beograd,zvezdara,63.0,5.0,5.0,True,Etažno,2.5,1.0
112000.0,beograd,novi beograd,61.0,9.022132796780683,11.0,True,Centralno,2.5,1.0
254900.0,beograd,vozdovac,134.0,5.7492447129909365,0.0,True,Etažno,6.0,1.0
259500.0,beograd,savski venac,82.0,7.822314049586777,2.0,True,Centralno,2.5,1.0
190000.0,beograd,palilula,85.0,3.0,1.0,True,Centralno,4.0,1.0
119938.0,beograd,rakovica,110.0,9.0,1.0,True,Centralno,4.0,1.0
520000.0,beograd,savski venac,200.0,3.0,3.0,False,Etažno,4.0,1.0
73500.0,beograd,zvezdara,60.0,4.930902111324376,2.0,False,Struja,2.5,1.0
221000.0,beograd,zvezdara,130.0,3.0,2.0,True,Etažno,4.0,1.0
263300.0,beograd,zvezdara,139.0,3.0,0.0,True,Etažno,3.0,2.0
169900.0,beograd,savski venac,72.0,5.0,4.0,True,Centralno,3.0,2.0
123000.0,beograd,zvezdara,107.0,2.0,2.0,True,Etažno,3.0,1.0
85000.0,beograd,novi beograd,61.0,20.0,17.0,True,Centralno,2.5,1.0
170000.0,beograd,rakovica,92.0,6.0,2.0,True,Centralno,3.5,1.0
445900.0,beograd,novi beograd,163.0,7.0,7.0,True,Centralno,3.0,1.0
36000.0,beograd,vozdovac,20.0,1.0,0.0,False,Struja,1.0,1.0
49000.0,beograd,zvezdara,46.0,3.0,0.0,True,Etažno,2.5,1.0
182500.0,beograd,novi beograd,87.0,8.0,6.0,True,Centralno,3.0,1.0
85000.0,beograd,cukarica,83.0,3.0,3.0,True,Centralno,3.5,1.0
210000.0,beograd,zvezdara,92.0,15.0,7.0,True,Centralno,3.5,1.0
77000.0,beograd,rakovica,52.0,11.0,6.0,False,Centralno,1.5,1.0
50500.0,beograd,palilula,44.0,4.0,0.0,True,Centralno,1.5,1.0
65000.0,beograd,palilula,70.0,4.0,0.0,True,Struja,3.0,1.0
185000.0,beograd,vracar,71.0,6.0,4.0,True,Centralno,2.0,2.0
63000.0,beograd,zvezdara,60.0,9.0,5.0,True,Centralno,2.0,1.0
108000.0,beograd,zemun,82.0,4.0,3.0,True,Centralno,4.0,1.0
112000.0,beograd,novi beograd,53.0,11.0,11.0,True,Centralno,2.0,1.0
104600.0,beograd,novi beograd,72.0,4.0,4.0,True,Centralno,3.0,1.0
52000.0,beograd,novi beograd,31.0,5.0,3.0,True,Centralno,1.0,1.0
369000.0,beograd,stari grad,151.0,5.0,0.0,True,Podno,4.0,1.0
330000.0,beograd,stari grad,120.0,3.0,1.0,True,Centralno,3.5,1.0
42000.0,beograd,palilula,50.0,3.0,1.0,False,Etažno,2.0,1.0
129000.0,beograd,cukarica,80.0,5.0,5.0,True,Centralno,3.0,1.0
105000.0,beograd,palilula,128.0,2.0,2.0,True,Etažno,5.0,1.0
180000.0,beograd,palilula,92.0,7.0,3.0,True,Centralno,3.5,1.0
102000.0,beograd,novi beograd,64.0,6.0,6.0,True,Centralno,2.5,1.0
16500.0,beograd,palilula,51.0,2.0,2.0,False,Etažno,2.0,1.0
42000.0,beograd,palilula,52.0,4.8046875,0.0,True,Struja,2.0,1.0
330000.0,beograd,stari grad,130.0,5.0,1.0,True,Etažno,4.0,1.0
329000.0,beograd,stari grad,105.0,5.0,2.0,True,Etažno,3.0,1.0
198000.0,beograd,vozdovac,120.0,4.0,4.0,True,Etažno,5.0,1.0
150000.0,beograd,cukarica,85.0,3.0,1.0,True,Centralno,3.0,1.0
66300.0,beograd,palilula,71.0,1.0,1.0,True,Etažno,3.0,1.0
90000.0,beograd,novi beograd,66.0,9.022132796780683,0.0,True,Centralno,2.5,1.0
89500.0,beograd,vozdovac,46.0,5.7492447129909365,0.0,True,Centralno,2.5,1.0
188000.0,beograd,stari grad,54.0,6.0,1.0,True,Centralno,2.5,1.0
65000.0,beograd,palilula,70.0,5.0,0.0,True,Etažno,3.0,1.0
123000.0,beograd,stari grad,62.0,5.0,3.0,True,Struja,2.5,1.0
63000.0,beograd,zvezdara,67.0,2.0,2.0,True,Struja,3.0,1.0
120000.0,beograd,stari grad,48.0,4.0,1.0,True,Struja,1.5,1.0
200000.0,beograd,zvezdara,97.0,4.0,1.0,False,Centralno,3.0,1.0
99000.0,beograd,vozdovac,56.0,2.0,1.0,False,Etažno,2.5,1.0
84500.0,beograd,vozdovac,61.0,4.0,3.0,True,Struja,2.0,1.0
62480.0,beograd,palilula,71.0,5.0,1.0,True,Centralno,3.0,2.0
39900.0,beograd,palilula,36.0,4.0,0.0,True,Gas,1.5,1.0
80000.0,beograd,palilula,84.0,4.0,3.0,True,Centralno,3.0,1.0
69300.0,beograd,zvezdara,66.0,4.0,3.0,True,Struja,3.0,1.0
85000.0,beograd,stari grad,24.0,6.0,3.0,True,Centralno,1.0,1.0
58000.0,beograd,vozdovac,85.0,10.0,8.0,True,Centralno,3.0,1.0
338000.0,beograd,vozdovac,112.0,4.0,1.0,True,Centralno,4.0,1.0
85000.0,beograd,vracar,33.0,5.0,4.0,True,Centralno,1.0,1.0
83650.0,beograd,vozdovac,44.0,4.0,1.0,False,Etažno,2.0,1.0
132300.0,beograd,zvezdara,63.0,4.0,1.0,False,Centralno,3.0,1.0
59500.0,beograd,zvezdara,50.0,3.0,0.0,True,Etažno,2.5,1.0
