id,listing_type,property_type,price,location_city,location_city_district,area_property,area_land,construction_type,num_floors_building,apartment_floor,registered,heating_type,num_rooms,num_bathrooms,source
7822,s,h,30000.0,zrenjanin,zrenjanin opstina,108.0,6.0,1998,,,True,Struja,,1.0,https://www.4zida.rs/prodaja/kuce/zrenjanin-opstina/oglas/jezerski-put/5ef258800c7cde73bd7b1bc2
7823,s,h,13000.0,stara pazova,stara pazova opstina,100.0,,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/stara-pazova-opstina/oglas/simanovacka/5cf1078d2731712a0b6c4ef2
7824,s,h,20000.0,ruma,ruma opstina,41.0,1127.0,2000,,,True,Kaljeva peć,,1.0,https://www.4zida.rs/prodaja/kuce/ruma-opstina/oglas/putinci/5f417d8a376c75373854437a
7825,s,h,150000.0,zlatibor,zlatibor opstina,450.0,680.0,2009,,,True,Etažno,,5.0,https://www.4zida.rs/prodaja/kuce/subotica-opstina/oglas/kertvaros/5f19264e9a30915ce12d8948
7826,s,h,39000.0,nis,srbija,98.0,2.0,,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/smederevo-opstina/oglas/slavija/5e07708b0c7cde6dac595916
7827,s,h,330000.0,beograd,palilula,205.0,,,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/velje-miljkovica/5f41a167c928cd143c426e03
7828,s,h,25900.0,nis,medijana,120.0,7.45,,,,False,,,1.0,https://www.4zida.rs/prodaja/kuce/srbobran-opstina/oglas/srbobran-grad/5f14831baf8f7501a71b8743
7831,s,h,66950.0,novi sad,salajka,72.0,2.55,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/salajka/5ef5f84d27317135802b32c3
7833,s,h,200000.0,novi sad,futog,244.0,9.09,,,,True,Gas,,1.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/futog/5ed913ba27317137a13987b9
7834,s,h,135960.0,pantelej,gradske lokacije,170.0,2.58,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/sremski-karlovci-opstina/oglas/sremski-karlovci-grad/5ed638412731717304729347
7835,s,h,164800.0,bulevar nemanjica,medijana,151.0,3.84,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/sremski-karlovci-opstina/oglas/sremski-karlovci-grad/5ed146bc273171475a706f23
7836,s,h,59000.0,beograd,mladenovac,90.0,4.0,1958,,,True,TA peć,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/janka-katica/5f164a0e0c7cde0c5f6704ca
7837,s,h,72000.0,nis,gradske lokacije,180.0,3.0,,,,False,,,1.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/pantelej/5bb77b79ad850278e9354351
7838,s,h,115000.0,beograd,mladenovac,360.0,5.0,,,,False,,,1.0,https://www.4zida.rs/prodaja/kuce/leskovac-opstina/oglas/radnicko-naselje/5bf811029a309142dd59506f
7839,s,h,335000.0,nis,medijana,250.0,1.0,,,,False,,,1.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/cair/5c0547be9a30914c56420c94
7840,s,h,75000.0,subotica,subotica opstina,210.0,7.0,1980,,,True,Etažno,,2.0,https://www.4zida.rs/prodaja/kuce/subotica-opstina/oglas/prespanska/5dc1dc07e466e67c6c4ca5c4
7841,s,h,80000.0,beograd,novi beo,150.0,9.0,1993,,,True,Struja,,2.0,https://www.4zida.rs/prodaja/kuce/batocina-opstina/oglas/batocina-grad/5f1871f29a30910a0b2e5c57
7842,s,h,30000.0,beograd,cukarica,220.0,6.0,2015,,,True,,,2.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/zelenceva/5eb41e6b0c7cde396d5c4288
7843,s,h,55000.0,vrnjacka banja,vrnjacka banja opstina,10000.0,1.0,,,,True,TA peć,,1.0,https://www.4zida.rs/prodaja/kuce/pozega-opstina/oglas/kraljaaleksandra/5c5811d22731711f1f0056d2
7844,s,h,20000.0,valjevo,valjevo opstina,48.0,6.0,1980,,,True,Kaljeva peć,,1.0,https://www.4zida.rs/prodaja/kuce/valjevo-opstina/oglas/kraljev-sto/5f4144eb0c7cde0e124d2419
7845,s,h,18000.0,beograd,zvezdara,50.0,3.0,2006,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/sime-pogacarevica/5ec4099f9a30914a315df2d4
7846,s,h,75000.0,beograd,cukarica,200.0,17.0,,,,False,,,2.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/milorada-pantica/5e9b0e769a30914c75303c26
7847,s,h,57000.0,beograd,cukarica,80.0,1.0,1972,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/kraljevo-opstina/oglas/27martkraljevo/5bf484389a30914262491dd3
7848,s,h,110000.0,beocin,beocin opstina,1500.0,,,,,False,,,1.0,https://www.4zida.rs/prodaja/kuce/sombor-opstina/oglas/crvenka/5f41579a5e710776f2432612
